Project Name;Ticket;Priority;Severity;Category;Status;Opening Date;Date of Resolution;Acknowledge SLA;Resolution SLA;Application;Environment;MD's;Problem;Country;Close Date;Closed Admin;SM Audit;
Farmacia Arrocha;0098378;P2;problem;Application;closed;2025-09-09;2025-09-09 21:14:16;0;1;XStore;PRD;0,00;;N/A;2026-03-03 10:03:40;N;;
Farmacia Arrocha;0098380;P2;problem;Application;closed;2025-09-09;2025-09-09 21:18:05;0;2;XStore;QA;0,00;;N/A;2026-03-03 10:03:40;N;;
Farmacia Arrocha;0098713;P2;problem;Application;closed;2025-09-16;2025-09-16 17:45:59;0;1;XStore;QA;0,00;;N/A;2026-03-03 10:03:43;N;;
Farmacia Arrocha;0099164;P2;problem;Application;closed;2025-09-25;2025-10-23 14:58:31;0;359;XStore;PRD;0,00;;N/A;2026-03-03 10:03:24;N;;
Farmacia Arrocha;0099262;P2;problem;Application;closed;2025-09-26;2025-09-26 15:26:23;0;2;XStore;PRD;0,00;;N/A;2026-03-03 10:03:51;N;;
Farmacia Arrocha;0101356;P2;problem;Application;closed;2025-10-01;2025-10-01 14:59:35;0;1;XStore;QA;0,00;;N/A;2026-03-03 10:03:05;N;;
Farmacia Arrocha;0101492;P2;user_request;Application;closed;2025-10-03;2026-01-13 19:32:20;0;613;XStore;PRD;0,25;;N/A;2026-01-21 09:01:46;Y;;
Farmacia Arrocha;0101908;P2;problem;Application;closed;2025-10-10;2025-10-10 10:32:20;0;0;ORCE;QA;0,00;;N/A;2026-03-03 10:03:19;N;;
Farmacia Arrocha;0102046;P2;problem;Application;closed;2025-10-13;2025-10-13 23:00:40;0;0;XStore;PRD;0,00;;N/A;2026-03-03 10:03:21;N;;
Farmacia Arrocha;0102212;P2;problem;Application;closed;2025-10-16;2025-11-07 14:43:16;0;293;XStore;PRD;0,00;;N/A;2026-03-03 10:03:55;N;;
Farmacia Arrocha;0102298;P1;problem;Application;closed;2025-10-18;2025-10-18 05:07:45;0;2;XStore;PRD;0,00;;N/A;2026-03-03 10:03:55;N;;
Farmacia Arrocha;0102350;P2;problem;Application;closed;2025-10-20;2025-12-10 10:55:15;0;589;XStore;PRD;0,00;;N/A;2026-03-03 10:03:27;N;;
Farmacia Arrocha;0102427;P4;problem;Application;closed;2025-10-21;2025-10-21 18:38:00;0;3;ORCE;PRD;0,00;;N/A;2026-03-03 10:03:01;N;;
Farmacia Arrocha;0102508;P1;problem;Integration;closed;2025-10-22;2025-10-22 21:41:41;0;3;XStore;PRD;0,00;;N/A;2026-03-03 10:03:22;N;;
Farmacia Arrocha;0102579;P2;problem;Application;closed;2025-10-24;2025-10-27 16:23:40;0;441;XStore;PRD;0,00;;N/A;2026-03-03 10:03:28;N;;
Farmacia Arrocha;0102614;P2;problem;Application;closed;2025-10-24;2025-11-04 23:06:01;0;362;XStore;PRD;0,00;;N/A;2026-03-03 10:03:31;N;;
Farmacia Arrocha;0102885;P2;problem;Integration;waiting_client_feedback;2025-10-30;;0;;XStore;PRD;0,28;;N/A;;N;;
Farmacia Arrocha;0103324;P2;problem;Application;closed;2025-11-07;2025-11-07 15:32:38;0;3;XStore;PRD;0,00;;N/A;2026-03-03 10:03:57;N;;
